INDEX,11FI05101,11FC05031,11FC05032,11FC05033,11FC05034,11FC05035,11FC05036,11FC05041,11FC05042,11FC05043,11FC05044,11FC05045,11FC05046,11TI05001,11TI05002,11TI05003,11TI05004,11TI05005,11TI05006,11TI05011,11TI05012,11TI05013,11TI05014,11TI05015,11TI05016,11TI05044,11TC05000
1/5/2016 16:56,52126.04688,8674.993164,8299.932617,8931.708984,8561.077148,8418.493164,8902.666016,4280.568359,4457.953125,4352.864746,4257.174805,4318.567871,4350.060547,616.3571167,622.392395,627.2278442,618.4779053,623.2241211,625.859436,831.9128571,836.7216034,833.5783081,834.7178497,840.0194244,840.0923004,1035.341614,838.390564
1/5/2016 17:16,52093.24219,8645.962891,8262.083984,8891.583008,8581.025391,8418.469727,8991.540039,4312.744629,4442.653809,4320.934082,4272.389648,4284.458984,4336.944336,616.348877,622.2875366,627.0186768,618.4445801,623.0376587,625.7434692,831.4993591,836.0654755,833.4184113,836.0765533,839.5780029,839.8748169,1034.730408,838.5881348
1/5/2016 17:36,52167.03516,8655.490234,8212.634766,8910.441406,8558.56543,8461.554688,9015.208984,4258.132324,4435.156738,4376.379395,4260.850586,4328.690918,4345.287109,616.5361938,622.1758423,626.4971313,618.3984985,622.3494263,625.1993408,833.3355865,837.0023193,836.27005,837.6870422,837.8946381,837.1817474,1035.013885,838.869873
1/5/2016 17:56,52194.67188,8638.748047,8259.429688,8844.457031,8588.956055,8476.145508,9038.163086,4264.789551,4471.844238,4352.675293,4288.586914,4347.895508,4360.195801,616.4490356,621.6768799,626.0587769,617.4692993,621.5750732,623.8934937,830.091156,836.5191193,835.7445831,836.3594818,837.2964325,838.3299408,1032.496735,837.8001099
1/5/2016 18:16,52099.81641,8650.817383,8269.203125,8940.922852,8548.155273,8393.493164,9004.482422,4312.554688,4482.734375,4326.52832,4314.132813,4295.031738,4321.974121,616.7532349,622.0365601,626.5245361,617.887207,622.3085938,624.4177246,831.1304016,837.5874786,837.2944946,834.5094452,834.9322662,835.7863464,1036.862061,837.4362793
1/5/2016 18:36,52153.77344,8628.776367,8273.03418,8914.680664,8559.866211,8457.400391,9027.424805,4287.468262,4457.675293,4351.043457,4296.702148,4304.171387,4312.270508,617.2979736,622.3858643,627.1124268,618.7242432,622.9685059,625.3099976,832.3645325,836.2343903,834.5493164,837.0622253,840.231308,840.0279388,1035.367126,837.8461914
1/5/2016 18:56,52041.14453,8627.259766,8261.109375,8899.900391,8581.313477,8430.624023,8986.015625,4311.091797,4483.141113,4380.953613,4253.422363,4271.67627,4317.583984,617.1615601,622.5021362,627.5751953,618.6572266,623.2337036,625.2996216,833.3858795,838.6161194,836.1128998,835.7156982,837.4267273,835.5956116,1037.129395,838.1303711
1/5/2016 19:16,52112.64453,8653.493164,8274.222656,8918.537109,8616.776367,8405.755859,8955.092773,4307.682129,4498.706055,4386.080566,4280.205078,4323.581055,4316.888184,617.0097046,622.5424805,627.4828491,618.5162964,623.1477661,625.2892456,833.4075928,836.2375946,834.9595642,836.8081512,839.5018463,839.0585175,1032.596527,838.2365112
1/5/2016 19:36,52083.17188,8684.670898,8238.425781,8894.871094,8601.861328,8438.933594,8950.736328,4253.655273,4470.493164,4344.050293,4261.228516,4319.618652,4317.96582,616.8578491,622.5320435,627.3905029,618.3754272,623.0618896,625.5315552,831.8783875,836.7454071,836.7775421,837.4092102,836.9852448,835.800415,1036.277771,838.3426514
1/5/2016 19:56,52156.30078,8657.103516,8268.071289,8917.542969,8598.65332,8461.635742,8934.885742,4296.216797,4468.455566,4341.393555,4262.623535,4320.248535,4292.499512,616.8225708,622.5216675,627.3215332,618.2078247,623.0774536,626.057312,832.6110229,835.8989563,835.1545868,837.3878174,837.6563873,835.7492065,1035.878448,838.2590942
1/5/2016 20:16,52076.82813,8664.748047,8248.225586,8931.901367,8599.350586,8407.658203,8895.442383,4253.071289,4449.243164,4364.904297,4269.144531,4320.385742,4308.306152,617.0270996,622.6050415,627.3557739,617.979187,623.2897949,626.5830688,831.2703552,837.2110901,837.541153,836.9037781,837.4127655,837.1230316,1037.518982,838.0603027
1/5/2016 20:36,52104.85547,8659.830078,8257.170898,8953.551758,8643.882813,8419.743164,8946.303711,4297.220215,4459.664063,4368.59082,4295.108887,4297.42627,4312.279297,617.2316284,622.7508545,627.3900146,617.7952881,623.5021362,626.6223145,832.587677,836.5466156,834.6073303,836.000412,838.3276825,839.6129913,1035.725891,838.1015625
1/5/2016 20:56,52119.00781,8671.389648,8242.943359,8865.299805,8609.887695,8461.746094,8978.026367,4275.191406,4477.193359,4359.8125,4249.958496,4320.577637,4351.776855,617.3060913,622.8966675,627.3586426,618.0717773,623.4177856,626.1168823,831.7173157,836.3051605,836.1556244,836.6813507,838.5669403,839.9999084,1035.376648,838.1428223
1/5/2016 21:16,52054.96875,8637.893555,8259.789063,8909.695313,8581.035156,8431.504883,8962.046875,4279.092773,4460.425781,4387.893066,4279.806641,4336.10791,4318.264648,617.1137085,622.7108154,627.0385132,618.3482666,622.9816895,625.6114502,833.095047,836.7759247,834.9450226,835.948761,838.3123474,839.5475769,1035.814819,838.1606445
1/5/2016 21:36,52089.23438,8655.550781,8242.819336,8879.970703,8613.271484,8464.167969,8999.111328,4290.222168,4475.536133,4348.425781,4272.886719,4312.15332,4337.270996,616.9213257,622.3053589,626.7183838,618.5267944,622.5455933,625.2695313,832.3748474,837.6851044,837.6382141,837.1433716,835.8268433,835.1552124,1036.003601,837.7246704
1/5/2016 21:56,52186.25781,8644.134766,8292.508789,8937.09668,8600.639648,8405.526367,9002.469727,4285.246582,4466.746582,4333.721191,4289.143555,4350.373047,4291.362305,616.6152954,622.1608276,626.6647949,617.8222046,622.3744507,625.1399536,830.9994049,835.2005615,835.8509674,835.6174469,838.4102936,837.9935608,1035.42868,837.4119263
1/5/2016 22:16,52140.71875,8648.642578,8242.300781,8927.263672,8555.645508,8470.477539,8992.962891,4307.685059,4455.902832,4366.864746,4285.689941,4307.534668,4317.150391,616.2511597,622.1831665,626.7810669,617.7261353,622.5166626,625.1619263,832.4529877,838.0215302,837.9753723,835.701889,835.8566589,836.6390533,1036.610352,837.9003296
1/5/2016 22:36,52174.65234,8618.152344,8274.838867,8953.579102,8569.311523,8392.791016,9010.209961,4301.208496,4468.259277,4356.634766,4283.785156,4315.41748,4312.219727,615.9007568,622.1445923,626.8253784,617.5233154,622.6588745,625.1432495,829.4562531,833.0879059,831.1280212,832.8937988,837.6946259,837.9082031,1033.399933,835.9457397
1/5/2016 22:56,52165.68359,8642.21582,8283.99707,8908.75293,8604.730469,8377.360352,8960.728516,4268.408203,4447.63623,4364.038086,4275.208008,4300.894043,4288.445313,615.6212158,621.7202759,626.4470825,616.8411255,622.2410278,624.8920898,831.8188324,834.793045,833.6183319,835.8633423,833.5413055,831.431488,1033.050507,834.7858887
1/5/2016 23:16,52238.67969,8668.932617,8299.003906,8934.873047,8659.227539,8399.108398,8952.884766,4304.685059,4431.32959,4375.866211,4275.895508,4288.58252,4314.120117,615.3416138,621.2960205,626.0687866,616.1588745,621.7893066,624.6408691,828.0682068,835.0685425,833.2249298,832.5352631,835.568573,836.5090027,1032.658325,834.9628296
1/5/2016 23:36,52112.57031,8631.666992,8265.80957,8856.908203,8580.40332,8467.266602,8963.614258,4291.526855,4470.348145,4372.942871,4242.27832,4318.084961,4305.717285,615.1491089,620.9508667,625.8568726,616.0435181,621.3775635,624.2597046,830.1416321,834.1120453,831.8757935,833.9705048,835.9449158,835.1400146,1034.518616,835.1397095
1/5/2016 23:56,52159.92578,8602.669922,8260.950195,8885.939453,8545.869141,8469.639648,9022.410156,4266.491211,4466.991211,4360.972168,4290.95166,4332.707031,4335.029785,615.0985107,620.7872925,625.8256836,616.3068848,621.0194702,623.6829224,828.2129974,833.9565735,833.1574097,833.09375,835.4920197,836.2016754,1034.363678,835.0559692
1/6/2016 0:16,52158.48438,8621.304688,8235.84668,8932.005859,8601.025391,8481.806641,9010.316406,4276.259277,4461.167969,4366.14209,4277.182617,4344.883789,4305.146484,615.0479736,620.6237793,625.7945557,616.4624634,620.6613159,623.1061401,829.6050262,833.8037567,832.7887115,832.8600159,834.9351349,836.4634705,1031.830933,834.8895264
1/6/2016 0:36,52201.59375,8621.768555,8297.59375,8907.43457,8613.461914,8450.003906,8955.143555,4282.34668,4466.438477,4358.419922,4293.111328,4291.587891,4324.181152,615.1010132,620.5421143,625.8029785,616.5203857,620.6741333,623.0050049,830.3559723,833.7754517,833.7596283,835.2497253,833.4682465,832.9992371,1031.071259,834.7231445
1/6/2016 0:56,52158.42578,8636.560547,8273.707031,8904.639648,8597.009766,8457.943359,8979.46582,4264.181641,4451.215332,4362.605469,4284.089844,4361.365234,4295.227051,615.3225708,620.6478882,625.8543701,616.5783691,621.1837769,623.6173706,830.8145752,834.1377869,834.209549,833.688324,833.0746613,833.7324219,1034.69696,834.7907715
1/6/2016 1:16,52074.29688,8646.557617,8313.280273,8917.500977,8592.139648,8366.298828,8988.708984,4266.918457,4434.858398,4347.248535,4266.871582,4288.12207,4339.000488,615.3438721,620.7536621,625.9058228,616.3358154,621.6933594,624.2296753,830.9804535,835.3921051,833.7515717,833.4815216,834.2601471,834.0840302,1033.249786,834.9318848
1/6/2016 1:36,52186.06641,8682.286133,8289.483398,8917.509766,8596.09375,8436.375977,8929.060547,4289.530273,4475.671387,4369.622559,4273.803711,4331.289063,4332.691406,615.2398071,620.8223267,625.9318848,615.9040527,621.9348145,624.484314,829.519516,833.8675385,832.3328705,831.8745422,835.9922333,835.9074249,1032.526825,835.0730591
1/6/2016 1:56,52122.88281,8634.617188,8272.285156,8930.114258,8607.176758,8438.828125,8910.099609,4320.182617,4482.195313,4369.115723,4276.511719,4339.107422,4313.854492,615.1357422,620.8066406,625.930542,616.1426392,621.8192749,624.2035522,828.5906219,833.8275452,832.2789764,837.0440979,834.8047791,833.7718353,1034.17688,834.947937
1/6/2016 2:16,52074.17969,8621.363281,8293.621094,8902.423828,8574.541016,8438.962891,8952.804688,4282.522949,4479.536133,4373.229492,4283.361816,4314.333496,4302.51709,615.0985718,620.7909546,625.6651001,616.3812866,621.628418,623.9228516,831.0851288,835.0320435,830.4480133,831.2036743,836.2349701,836.0157623,1033.643646,834.7393799
1/6/2016 2:36,52079.99609,8608.602539,8262.592773,8889.233398,8614.998047,8423.724609,8983.96875,4283.15918,4473.609863,4369.96875,4273.546875,4328.612305,4294.35791,615.2193604,620.8511963,625.5473022,616.4117432,621.3527222,623.9487305,828.8536987,833.7926941,834.6056671,834.419754,834.2005157,832.3123932,1032.972046,834.5308228
1/6/2016 2:56,52084.86328,8638.12207,8273.738281,8884.194336,8619.483398,8433.319336,8985.458008,4295.209473,4450.529297,4365.015625,4270.888672,4340.197266,4316.966309,615.541748,620.9855957,625.9595947,616.2054443,621.3016357,624.2697754,831.5808105,834.1042023,832.3299103,834.6089935,835.4113464,834.123291,1035.028259,834.8521729
1/6/2016 3:16,52074.62891,8621.541992,8289.442383,8944.463867,8607.754883,8421.071289,8981.96582,4318.368652,4461.275879,4381.387695,4269.901855,4320.781738,4309.703613,615.8641357,621.1199341,626.3719482,615.9991455,621.8547363,624.5907593,829.8067474,833.8365631,832.6600494,835.3153381,834.312973,833.2599487,1033.341949,835.0106812
1/6/2016 3:36,52069.12109,8591.539063,8253.050781,8892.623047,8592.421875,8435.359375,8935.384766,4303.431641,4502.856445,4363.854004,4280.088379,4313.481445,4302.429688,615.9752808,621.2022705,626.6741333,616.0440063,622.4078369,624.7794189,829.2869263,834.1537323,834.9766693,834.7256622,833.7199554,832.3834686,1035.896667,835.0362549
1/6/2016 3:56,52116.16406,8602.194336,8259.625,8928.868164,8604.598633,8434.102539,8923.539063,4317.69873,4471.346191,4325.836426,4291.704102,4355.824219,4301.777832,615.7217407,621.2338867,626.8105469,616.1913452,622.6617432,624.8408813,830.0142975,833.2559204,832.5408325,832.7060699,836.711731,836.4943237,1033.426208,835.0618286
1/6/2016 4:16,52033.08203,8607.636719,8294.995117,8977.388672,8605.041016,8415.444336,8936.65625,4300.352051,4476.060547,4385.979004,4277.779297,4282.962891,4329.409668,615.4682007,621.265564,626.9470215,616.31073,622.3080444,624.9024048,829.9078979,835.1269989,832.8045807,830.8078613,835.5296783,837.2258911,1033.989746,835.0465088
1/6/2016 4:36,52072.82422,8626.892578,8306.948242,8935.731445,8603.873047,8414.495117,9013.276367,4292.377441,4471.279297,4356.160645,4241.650879,4336.126953,4310.882324,615.3397217,621.3129883,627.0117188,616.3572388,621.9543457,624.8537598,829.503891,833.3395691,833.2361298,835.6772156,834.7229309,834.9289703,1034.234222,835.0146484
1/6/2016 4:56,52071.47266,8593.583008,8285.308594,8887.023438,8605.418945,8460.6875,8947.647461,4259.92627,4458.227539,4368.258789,4283.635254,4306.950684,4318.499023,615.4265137,621.3617554,626.968689,616.6829834,621.840271,624.6999512,828.6814728,833.568573,833.6149445,832.9475555,834.8463898,834.4893799,1036.584656,834.9828491
1/6/2016 5:16,52064.09766,8627.53125,8287.894531,8925.454102,8531.949219,8452.78125,9023.87793,4278.816895,4495.577637,4373.562988,4261.34668,4334.210938,4300.418457,615.492981,621.4105225,626.909729,617.2153931,622.1731567,624.5337524,830.9473724,833.9638672,832.4210205,834.6634979,833.9306488,836.6485443,1034.358215,834.8554077
1/6/2016 5:36,51996.58984,8603.484375,8243.797852,8921.431641,8566.836914,8377.015625,9004.356445,4312.624023,4472.623047,4380.84375,4280.706543,4323.078125,4306.439941,615.4070435,621.1859741,626.6286011,617.0709839,621.7456055,624.0458984,830.1312256,831.4604797,829.3369446,833.1236267,837.8067169,838.623291,1031.770264,834.6966553
1/6/2016 5:56,52192.67188,8641.59668,8280.05957,8915.320313,8577.427734,8444.521484,9021.626953,4311.324707,4460.369141,4343.573242,4263.980957,4327.938965,4284.154785,615.321167,620.9391479,626.3474731,616.9265747,621.3181152,623.5580444,829.3769226,835.0830994,834.8491364,834.0630188,833.2590942,833.4462585,1033.297607,834.7131958
1/6/2016 6:16,52054.625,8583.955078,8279.197266,8894.458984,8560.391602,8430.556641,9013.478516,4288.114258,4464.435547,4355.933594,4268.325195,4302.531738,4325.500977,615.258606,620.6923218,626.1131592,616.7848511,620.9199829,623.3018799,829.5342255,834.390625,833.5061035,834.947464,834.3951263,832.5998993,1034.07431,834.7297974
1/6/2016 6:36,52097.64844,8637.701172,8301.474609,8920.323242,8569.285156,8404.31543,8983.34082,4287.369629,4469.249512,4359.144531,4275.918945,4338.265625,4321.261719,615.3699341,620.7796631,626.1257935,616.6659546,621.0980225,623.500061,829.9580688,835.0695801,834.5021667,835.0798798,831.5137634,830.780899,1035.677856,834.7608643
1/6/2016 6:56,52061.94531,8626.541992,8278.951172,8943.209961,8597.459961,8406.958008,8984.185547,4273.140625,4491.081055,4394.717773,4260.531738,4335.116211,4324.841797,615.4812012,620.8939209,626.1384277,616.5471191,621.276123,623.6983032,829.1267853,833.50914,829.3305359,833.3269653,837.618576,835.9722443,1033.852844,834.7977295
1/6/2016 7:16,52058.35156,8606.354492,8261.248047,8891.279297,8573.733398,8449.765625,9032.108398,4268.421387,4467.194824,4350.02002,4311.379883,4296.29834,4313.671875,615.5553589,621.0082397,626.1257324,616.4300537,620.9093628,623.3858643,829.5656891,832.4529572,830.5372772,834.6213837,837.0273743,836.6470032,1033.463776,834.8345337
1/6/2016 7:36,52069.03906,8602.160156,8230.686523,8832.657227,8619.572266,8456.933594,9010.974609,4261.54248,4479.739258,4352.491211,4273.011719,4302.049805,4330.020508,615.3566895,620.7981567,625.9806519,616.328064,620.0817261,622.6408691,830.1739655,834.9628143,834.9246063,832.6401672,832.3552246,832.6470184,1033.071014,834.8325806
1/6/2016 7:56,52041.03516,8642.694336,8271.370117,8908.555664,8628.698242,8456.104492,8973.856445,4289.240234,4461.257813,4382.748535,4294.312988,4349.92041,4303.42334,615.1580811,620.562439,625.9888916,616.2339478,620.1698608,623.0337524,829.7583313,835.0424957,832.0973969,833.2309113,834.9964905,834.6565247,1034.3909,834.8152466
1/6/2016 8:16,52123.75,8654.785156,8298.288086,8855.157227,8592.826172,8458.092773,9003.875977,4288.444336,4484.694336,4368.901367,4263.472656,4302.92041,4299.510254,615.0045776,620.3266602,626.0272217,616.2399292,620.3991089,623.3920288,829.3891144,833.1786804,830.4792786,834.04245,835.6734009,835.4984589,1033.507263,834.7979126
1/6/2016 8:36,52046.16797,8607.393555,8258.536133,8839.699219,8593.297852,8401.611328,8985.541992,4289.535156,4458.559082,4366.114746,4265.603027,4332.00293,4309.665527,615.1801758,620.3151855,626.0655518,616.2459106,620.5077515,623.2496338,830.0256042,834.6783295,834.2880249,835.007019,833.5160217,833.5282745,1034.943604,834.7166138
1/6/2016 8:56,52076.89844,8669.504883,8304.436523,8841.432617,8579.259766,8441.1875,8992.46875,4286.467285,4466.293945,4385.267578,4280.746094,4267.319336,4332.378906,615.3915405,620.3212891,625.6920166,616.2487183,620.5645142,623.1071777,830.5705109,833.0645447,829.9246826,832.5849915,836.7633514,835.8624725,1032.867249,834.612793
1/6/2016 9:16,52178.99609,8682.408203,8263.796875,8857.866211,8586.917969,8465.796875,8999.818359,4283.805176,4464.799316,4362.51416,4233.29834,4319.865234,4328.587891,615.7496948,620.3563232,625.2383423,616.2113037,620.4854736,623.0658569,830.3748169,836.1533508,833.250061,832.8659668,833.725769,831.896347,1034.934143,834.8297119
1/6/2016 9:36,52165.27344,8691.227539,8255.515625,8801.760742,8580.399414,8445.085938,9015.68457,4282.933594,4442.370605,4351.309082,4269.418457,4298.039063,4324.845215,616.1077881,620.442627,624.8598633,616.1168213,620.4064941,623.1940308,828.5180817,833.3667297,830.5229034,833.4929657,837.0497284,838.0795593,1033.596344,834.81073
